"","source","species","order","harass.","nup_gift.","lifetime.","bias.","treatment","experiment","study","con_N","exp_N","adjusted_con_N","con_long","con_long_SD","exp_long","exp_long_SD"
"192","Sakurai (1996)","Riptortus clavatus","Hemiptera","n","n","y","n","once_twice",1,127,25,13,25,77.4,20.3,79.2,25
"193","Sakurai and Kasuya (2008)","Callosobruchus chinensis","Coleoptera","n","n","y","y","once_twice",1,128,20,26,20,12.25,1.97,10.96,1.23
"194","Sakurai and Kasuya (2008)","Callosobruchus chinensis","Coleoptera","n","n","y","y","once_twice",2,128,27,24,27,11.37,2.1,11.96,1.2
"195","Santolamazza-Carbone and Pestana (2010)","Anaphes nitens","Hymenoptera","n","n","y","y","once_twice",1,130,17,21,17,21.5,6.47,21.11,6.69
"196","Santostefano et al. (2018)","Arctia plantaginis","Lepidoptera","n","y","y","y","once_twice",1,131,36,42,36,7.89,2.14,7.52,2.29
"197","Savalli and Fox (1999)","Callosobruchus maculatus","Coleoptera","n","n","y","n","once_four",1,132,47,47,47,11.75,2.4,9.63,1.92
"198","Schwartz and Peterson (2006)","Chrysochus cobaltinus","Coleoptera","n","n","y","n","once_ten",1,133,16,17,16,44.5,16.4,49.6,16.5
"199","Shuker et al. (2006)","Lygaeus equestris","Hemiptera","y","n","y","n","once_thrice",1,135,21,21,21,21.71,7.82,12.91,3.65
"200","Shuker et al. (2006)","Lygaeus equestris","Hemiptera","y","n","y","n","once_three",2,135,21,21,21,17.75,6.79,13.27,7.82
"201","Simmons (1988)","Gryllus bimaculatus","Orthoptera","n","y","y","n","once_thrice",1,136,10,10,10,44.5,10.8,39.3,14.8
"202","Sousa-Souto et al. (2006)","Podisus nigrispinus","Hemiptera","n","n","y","n","once_twice",1,137,15,10,7.5,75.46,NA,69.48,NA
"203","Sousa-Souto et al. (2006)","Podisus nigrispinus","Hemiptera","n","n","y","n","once_thrice",1,137,15,10,7.5,75.46,NA,59.38,NA
"204","Svard and McNeil (1994)","Mythimna unipuncta","Lepidoptera","n","y","y","y","once_twice",1,138,23,24,23,15.8,3.4,18.8,2.9
"205","Taylor et al. (2008)","Drosophila simulans","Diptera","y","n","y","n","once_twice",1,140,21,26,10.5,24.6,NA,23.08,NA
"206","Taylor et al. (2008)","Drosophila simulans","Diptera","y","n","y","n","once_thrice",2,140,21,15,10.5,24.6,NA,24.15,NA
"207","Tseng et al. (2007)","Callosobruchus maculatus","Coleoptera","n","n","y","n","once_twice",1,142,21,21,21,13.4,2.7,15.5,3.2
"208","Wagner et al. (2001)","Gryllus lineaticeps","Orthoptera","n","y","y","y","once_thrice",1,146,19,19,19,58.5,24,78.4,24
"209","Wang et al. (2005)","Plutella xylostella","Lepidoptera","n","y","y","y","once_twice",1,148,32,8,32,6.86,3.4,7.17,1.8
"210","Wang et al. (2018)","Galerucella birmanica","Coleoptera","n","n","y","n","once_twice",1,149,10,10,10,60.68,5.84,41.11,5.35
"211","Wang et al. (2021)","Aphelinus asychis","Hymenoptera","n","n","y","n","once_twice",1,150,40,34,10,23.05,4.99,21.4,5.6
"212","Wang et al. (2021)","Aphelinus asychis","Hymenoptera","n","n","y","n","once_three",1,150,40,28,10,23.05,4.99,20,6.46
"213","Wang et al. (2021)","Aphelinus asychis","Hymenoptera","n","n","y","n","once_four",1,150,40,19,10,23.05,4.99,19.76,3.44
"214","Wang et al. (2021)","Aphelinus asychis","Hymenoptera","n","n","y","n","once_five",1,150,40,12,10,23.05,4.99,18.72,3.39
"215","Ward and Landolt (1995)","Trichoplusia ni","Lepidoptera","n","y","y","y","once_twice",1,151,12,18,4,18.4,3.60266568,15.1,3.8
"216","Ward and Landolt (1995)","Trichoplusia ni","Lepidoptera","n","y","y","y","once_thrice",1,151,12,24,4,18.4,3.60266568,13.5,3.3
"217","Ward and Landolt (1995)","Trichoplusia ni","Lepidoptera","n","y","y","y","once_few",1,151,12,10,4,18.4,3.60266568,14,3.5
"218","Wei et al. (2015)","Bactrocera dorsalis","Diptera","n","n","y","n","once_twice",1,153,18,20,9,12.24,NA,8.5,NA
"219","Wei et al. (2015)","Bactrocera dorsalis","Diptera","y","n","y","n","once_twice",1,153,18,19,9,12.24,NA,11.31,NA
"220","Wenninger and Hall (2008)","Diaphorina citri","Hemiptera","n","n","y","n","once_thrice",1,154,16,13,16,49.2,29.6,49,31.73
"221","Wenninger and Hall (2008)","Diaphorina citri","Hemiptera","y","n","y","n","once_thrice",2,154,16,5,16,32.1,10.8,17.8,8.5
"222","Wiklund et al. (1993)","Pieris napi","Lepidoptera","y","y","y","n","once_twice",1,155,22,25,22,11,14.07,18,10
"223","Wilson and Tomkins (2015)","Callosobruchus maculatus","Coleoptera","n","n","y","n","once_twice",1,156,20,8,6.66,10.97,NA,10.58,NA
"224","Wilson and Tomkins (2015)","Callosobruchus maculatus","Coleoptera","n","n","y","n","once_thrice",1,156,20,98,6.66,10.97,NA,8.41,NA
"225","Wilson and Tomkins (2015)","Callosobruchus maculatus","Coleoptera","n","n","y","n","once_four",1,156,20,52,6.66,10.97,NA,10.09,NA
"226","Wilson and Tomkins (2015)","Callosobruchus maculatus","Coleoptera","y","n","y","n","once_twice",2,156,22,45,7.33,9.89,NA,8.49,NA
"227","Wilson and Tomkins (2015)","Callosobruchus maculatus","Coleoptera","y","n","y","n","once_thrice",2,156,22,81,7.33,9.89,NA,8.62,NA
"228","Wilson and Tomkins (2015)","Callosobruchus maculatus","Coleoptera","y","n","y","n","once_four",2,156,22,65,7.33,9.89,NA,10.57,NA
"229","Worden and Parker (2001)","Tenebrio molitor","Coleoptera","n","y","y","n","once_four",2,159,73,43,73,64.6,13.5,63.8,11.4
"230","Yan et al. (2024)a","Drosophila melanogaster","Diptera","n","n","y","y","few_many",1,161,37,39,18.5,45.27,9.37,42.87,10.06
"231","Yan et al. (2024)a","Drosophila melanogaster","Diptera","n","n","y","y","few_many",1,161,37,40,18.5,45.27,9.37,44.1,10.36
"232","Yan et al. (2024)b","Cimex lectularius","Hemiptera","n","n","y","n","few_many",1,162,19,19,19,71.10526,10.300457,52.31579,12.905867
"233","Yasui (1997)","Parasitus fimetorum","Arachnida","n","y","y","n","once_seven",1,163,12,22,12,5.92,2.52,6.18,2.63
"234","Zhan, Liu and Liu (2020)","Agriphila aeneociliella","Lepidoptera","y","n","y","y","once_twice",1,164,30,6,30,8.12,2.03,9.17,1.71
"235","Zhao et al. (2019)","Plagiodera versicolora","Coleoptera","n","n","y","n","once_twice",1,165,28,28,7,48.8,12.2,41.88,11.33
"236","Zhao et al. (2019)","Plagiodera versicolora","Coleoptera","n","n","y","n","once_thrice",1,165,28,28,7,48.8,12.2,32.73,8.75
"237","Zhao et al. (2019)","Plagiodera versicolora","Coleoptera","n","n","y","n","once_twice",2,165,28,28,7,48.8,12.2,49.4,8.5
"238","Zhao et al. (2019)","Plagiodera versicolora","Coleoptera","n","n","y","n","once_thrice",2,165,28,28,7,48.8,12.2,34.67,4.36
"239","Zhou et al. (2015)","Ophraella communa","Coleoptera","n","n","y","n","once_twice",1,166,22,22,5.5,53.25,3.52,53.75,2.35
"240","Zhou et al. (2015)","Ophraella communa","Coleoptera","n","n","y","n","once_three",1,166,22,22,5.5,53.25,3.52,53,3.52
"241","Zhou et al. (2015)","Ophraella communa","Coleoptera","n","n","y","n","once_four",1,166,22,22,5.5,53.25,3.52,56.5,2.35
"242","Zhou et al. (2015)","Ophraella communa","Coleoptera","y","n","y","n","once_many",1,166,22,22,5.5,53.25,3.52,81.25,8.21
